Combination of Genres,Average Revenue
Thriller|Science Fiction|Action|Adventure,181105870.0
Action|Crime|Comedy,180664551.5
Drama|History|Adventure,180304163.0
Action|Adventure|Thriller,179577965.7826087
Adventure|Comedy|Family|Science Fiction,179466260.0
Adventure|Science Fiction|Action|Mystery,179246868.0
Animation|Family|Comedy|Fantasy,178145098.33333334
Adventure|Science Fiction|Action|Horror,177427090.0
Drama|Adventure|Action|History,177394432.0
Thriller|Action|Adventure|Comedy|Crime,177238796.0
Action|Drama|Thriller|Crime|Mystery,176997168.0
Action|Adventure|Thriller|War,176657236.75
Thriller|Comedy|Crime|Action,176586701.0
Action|Science Fiction|Thriller|Western,174822325.0
Fantasy|Family|Comedy,174403545.0
Animation|Family|Adventure|Fantasy,173596141.625
Crime|Horror|Mystery,173046663.0
Adventure|Drama|History|Romance,173013509.0
Action|Adventure|Crime|War,173000000.0
Family|Comedy|Fantasy,172570701.5
Fantasy|Action|Adventure,172281347.625
Animation|Action|Adventure|Comedy|Family,171616764.0
Comedy|Drama|Romance|Music,170508765.0
Comedy|Romance|Family,169852759.0
Adventure|Comedy|Family|Fantasy,168546001.0
Comedy|Family|Romance|Fantasy,168475338.0
Adventure|Family|Fantasy,168210062.26666668
Family|Animation|Comedy|Adventure,167826702.57142857
Thriller|Action|Comedy,167450668.5
War|History|Action|Adventure|Drama|Romance,167298192.0
Fantasy|Drama|Comedy|Family,166660303.0
War|Action|Drama,166403437.7777778
Mystery|Thriller|Drama,166254349.42857143
Comedy|Action|Adventure|Science Fiction,165548383.0
Family|Comedy|Music,165184237.0
Animation|Family|Adventure|Fantasy|Comedy,164883239.66666666
Family|Adventure|Fantasy|Drama,164170327.0
Romance|Drama|Mystery,163617253.5
Fantasy|Comedy|Family,163260505.0
Action|Adventure|War,162970139.66666666
Adventure|Action|Western,162360636.0
Adventure|Comedy|Fantasy,161017731.2
Drama|Action|Thriller|War,160727844.5
Adventure|Drama|Romance|War|Western,160638883.0
Action|Adventure|Mystery|Fantasy,160388063.0
Crime|Adventure|Action|Comedy|Thriller,160078586.0
Adventure|Fantasy|Animation,159414369.0
Animation|Adventure|Comedy|Family,159329110.0
Comedy|Drama|Thriller,159025681.0
Comedy|Family|Mystery|Crime|Adventure|Action,158851357.0
Adventure|Horror|Comedy,158162788.0
Adventure|Action|Romance|Drama,157920733.0
War|Thriller|Action|Drama,157387195.0
Drama|Romance|History,156111442.66666666
Adventure|Fantasy|Action|Thriller|Science Fiction,155991807.5
Crime|Drama|Mystery|Western,155760117.0
Comedy|Drama|Family|Music|Romance,155545279.0
Romance|Comedy|Crime|Drama,153962963.0
Adventure|Animation|Comedy|Family,153761660.7777778
Family|Comedy|Adventure|Animation|Fantasy,153000000.0
Comedy|Family|Adventure,152655906.33333334
Fantasy|Drama|Comedy|Romance|Family,151927281.0
Crime|Comedy|Action,151667491.0
Drama|Action|Adventure|Fantasy,150962475.0
Family|Animation|Fantasy|Comedy,150067683.5
Fantasy|Animation|Comedy,150000000.0
Drama|Action|Fantasy,150000000.0
Thriller|Mystery|Drama|Crime,149705852.0
Comedy|Family|Adventure|Romance,149281606.0
Animation|Family|Adventure|Comedy,148509554.75
Action|Comedy|Family|Adventure,147934180.0
Action|Adventure|Comedy|Science Fiction,147800994.14285713
Fantasy|Drama|Crime,144423279.0
Drama|Adventure|Romance|Thriller,144056873.0
Action|History|War,143825217.5
Drama|Family|Music|Romance,143107143.0
War|Action,142801855.75
Comedy|Family|Adventure|Animation,141702264.0
Thriller|War|Adventure,141654055.0
Drama|Thriller|Mystery|Romance,140081992.0
Comedy|Fantasy,138915881.2
Drama|War|Action,138530565.0
Adventure|Drama|Romance|Western,137783840.0
Science Fiction|Horror|Action,137687051.5
Animation|Comedy|Fantasy|Family,136384442.0
Fantasy|Adventure|Family,135957182.6
Action|Crime|Science Fiction|Thriller,134862073.0
Drama|Action|Adventure|History|War,134244002.0
Family|Animation|Comedy|Fantasy,133257750.0
Family|Animation|Comedy|Science Fiction,133003534.66666667
Adventure|Science Fiction|Family|Fantasy,132675864.0
Action|Thriller|Fantasy,132511035.0
Crime|Fantasy|Drama,132180323.0
Family|Fantasy|Animation|Romance,131932529.5
Drama|Family|Romance|Music,131706809.0
Fantasy|Family|Comedy|Horror,131457147.0
Comedy|Music|Family,131095990.0
Fantasy|Drama|Horror,131002597.0
Fantasy|Comedy,130975746.5
Comedy|Thriller|Drama,130703322.0
Action|Family|Drama,130442786.0
Fantasy|Action|Horror,130332466.33333333
Fantasy|Action|Science Fiction|Thriller|Horror,130290885.0
Thriller|Science Fiction|Horror,130234661.0
Family|Fantasy|Animation|Action|Adventure,130000000.0
Action|Horror|Fantasy,128905366.0
Animation|Comedy|Family,128798828.95121951
Action|Science Fiction|Drama,128675806.66666667
Science Fiction|Thriller|Romance,127869379.0
